id,name,released,rating,ratings_count,metacritic,playtime,genres,platforms
324997,Baldur's Gate III,2023-08-03,4.44,929,97.0,19,"Strategy, Adventure, RPG","PC, PlayStation 5, Xbox Series S/X, macOS"
327239,The Legend of Zelda: Tears of the Kingdom,2023-05-12,4.4,455,96.0,0,"Adventure, Action",Nintendo Switch
326243,Elden Ring,2022-02-25,4.39,1402,95.0,62,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
339958,Persona 5 Royal,2020-03-31,4.76,507,94.0,13,"Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
392019,Half-Life: Alyx,2020-03-23,4.37,489,93.0,5,"Shooter, Adventure, Action",PC
51325,The Last of Us Part II,2020-06-19,4.41,1929,93.0,0,"Shooter, Adventure, Action","PlayStation 5, PlayStation 4"
274755,Hades,2020-09-17,4.43,2034,93.0,10,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
452648,Demon's Souls (2020),2020-11-12,4.46,213,92.0,0,"Action, RPG",PlayStation 5
425200,A Monster's Expedition,2020-09-10,3.93,27,92.0,2,"Adventure, Puzzle, Casual, Strategy, Indie","PC, macOS"
28199,Ori and the Will of the Wisps,2020-03-10,4.43,1279,91.0,11,"Platformer, Adventure, Action","PC, Xbox One, Xbox Series S/X, Nintendo Switch"
326238,Microsoft Flight Simulator 2020,2020-08-18,4.14,270,90.0,21,Simulation,"PC, Xbox One, Xbox Series S/X"
427490,Sea of Stars,2023-08-28,4.3,120,90.0,7,RPG,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
421698,Animal Crossing: New Horizons,2020-03-20,4.31,762,90.0,0,Simulation,Nintendo Switch
59613,Spelunky 2,2020-09-15,3.88,144,90.0,3,"Platformer, Indie, Action","PC, PlayStation 4, Nintendo Switch"
388309,Diablo IV,2023-06-06,3.76,291,90.0,17,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
471027,Tetris Effect: Connected,2020-11-10,4.22,257,90.0,3,"Casual, Indie, Puzzle","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
274758,The Stanley Parable: Ultra Deluxe,2022-04-27,4.37,359,90.0,4,"Casual, Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux"
545015,Disco Elysium: Final Cut,2021-03-30,4.66,637,90.0,5,"Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, macOS"
371831,Xenoblade Chronicles: Definitive Edition,2020-05-29,4.3,139,89.0,0,RPG,Nintendo Switch
383516,League of Legends: Wild Rift,2020-10-27,3.86,70,89.0,0,"Strategy, Action","iOS, Android"
484971,Chained Echoes,2022-12-08,4.37,43,89.0,4,"Indie, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux"
62424,Gravity Circuit,2023-07-13,0.0,5,89.0,5,"Indie, Action","PC, PlayStation 5, PlayStation 4, Nintendo Switch, macOS, Linux"
50796,Dreams,2020-02-14,4.11,108,89.0,0,"Adventure, Action, Puzzle",PlayStation 4
364990,Chicory: A Colorful Tale,2021-06-10,3.92,64,89.0,3,"Indie, Adventure, RPG","PC, PlayStation 4, Nintendo Switch, macOS"
487916,Super Mario 3D World + Bowser’s Fury,2021-02-12,4.39,259,89.0,0,"Platformer, Action",Nintendo Switch
